,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,129.050003,129.050003,2016-10-12,129.660004,128.460007,129.009995,FB,11027800
1,128.880005,128.880005,2016-10-11,130.639999,128.229996,130.229996,FB,17493200
2,130.240005,130.240005,2016-10-10,130.699997,129.199997,129.679993,FB,15101400
3,128.990005,128.990005,2016-10-07,129.25,128.330002,129.039993,FB,12794800
4,128.740005,128.740005,2016-10-06,129.059998,128.080002,128.429993,FB,11654200
5,128.470001,128.470001,2016-10-05,128.800003,127.830002,128.25,FB,12350500
6,128.190002,128.190002,2016-10-04,129.279999,127.550003,129.169998,FB,14281600
7,128.770004,128.770004,2016-10-03,129.089996,127.800003,128.380005,FB,13129300
8,128.270004,128.270004,2016-09-30,128.589996,127.449997,128.029999,FB,18369400
9,128.089996,128.089996,2016-09-29,129.289993,127.550003,129.179993,FB,14485300
10,129.229996,129.229996,2016-09-28,129.470001,128.399994,129.210007,FB,12033700
11,128.690002,128.690002,2016-09-27,129.009995,127.43,127.610001,FB,15564200
12,127.309998,127.309998,2016-09-26,128.160004,126.800003,127.370003,FB,15037500
13,127.959999,127.959999,2016-09-23,128.600006,127.300003,127.559998,FB,28261900
14,130.080002,130.080002,2016-09-22,130.729996,129.559998,130.50,FB,15307700
15,129.940002,129.940002,2016-09-21,130.009995,128.389999,129.130005,FB,13996600
16,128.639999,128.639999,2016-09-20,129.169998,128.029999,128.649994,FB,11066800
17,128.649994,128.649994,2016-09-19,129.940002,128.259995,129.910004,FB,14919800
18,129.070007,129.070007,2016-09-16,129.179993,128.199997,128.199997,FB,23835300
19,128.350006,128.350006,2016-09-15,129.100006,127.669998,127.980003,FB,15077200
20,127.769997,127.769997,2016-09-14,128.800003,126.889999,126.889999,FB,15691100
21,127.209999,127.209999,2016-09-13,128.350006,126.660004,128.029999,FB,17923600
22,128.690002,128.690002,2016-09-12,128.759995,125.75,125.959999,FB,20904700
23,127.099998,127.099998,2016-09-09,129.949997,127.099998,129.710007,FB,26772700
24,130.270004,130.270004,2016-09-08,131.080002,129.809998,130.919998,FB,15553200
25,131.050003,131.050003,2016-09-07,131.979996,129.949997,130.039993,FB,27922500
26,129.729996,129.729996,2016-09-06,129.940002,126.470001,126.669998,FB,26208500
27,126.510002,126.510002,2016-09-02,126.860001,126.00,126.849998,FB,12059700
28,126.169998,126.169998,2016-09-01,126.629997,125.599998,126.379997,FB,13507800
29,126.120003,126.120003,2016-08-31,126.220001,125.099998,125.599998,FB,14157400
30,125.839996,125.839996,2016-08-30,126.599998,125.150002,126.599998,FB,17772000
31,126.540001,126.540001,2016-08-29,126.730003,124.349998,124.349998,FB,15815600
32,124.959999,124.959999,2016-08-26,125.190002,123.910004,124.050003,FB,17434000
33,123.889999,123.889999,2016-08-25,124.370003,123.099998,123.120003,FB,10700900
34,123.480003,123.480003,2016-08-24,124.690002,123.089996,124.470001,FB,12214200
35,124.370003,124.370003,2016-08-23,125.089996,124.25,124.510002,FB,13289400
36,124.150002,124.150002,2016-08-22,124.830002,123.110001,123.330002,FB,14337700
37,123.559998,123.559998,2016-08-19,124.160004,123.279999,123.599998,FB,11570400
38,123.910004,123.910004,2016-08-18,124.260002,123.639999,124.010002,FB,12360000
39,124.370003,124.370003,2016-08-17,124.379997,122.849998,123.660004,FB,13742300
40,123.300003,123.300003,2016-08-16,123.919998,122.779999,123.50,FB,14185900
41,123.900002,123.900002,2016-08-15,124.919998,123.699997,124.910004,FB,19241200
42,124.879997,124.879997,2016-08-12,125.00,124.18,124.699997,FB,12127500
43,124.900002,124.900002,2016-08-11,125.379997,124.75,125.199997,FB,11657500
44,124.879997,124.879997,2016-08-10,125.480003,124.540001,125.07,FB,10634300
45,125.059998,125.059998,2016-08-09,126.089996,124.529999,125.339996,FB,19444300
46,125.260002,125.260002,2016-08-08,125.449997,124.550003,125.25,FB,15233900
47,125.150002,125.150002,2016-08-05,125.839996,124.620003,124.980003,FB,20184000
48,124.360001,124.360001,2016-08-04,124.790001,122.510002,122.940002,FB,21066000
49,122.510002,122.510002,2016-08-03,123.919998,122.309998,123.089996,FB,18525300
50,123.089996,123.089996,2016-08-02,124.800003,122.07,124.059998,FB,23968400
51,124.309998,124.309998,2016-08-01,124.580002,122.860001,123.849998,FB,25006900
52,123.940002,123.940002,2016-07-29,125.839996,123.709999,124.650002,FB,35058800
53,125.00,125.00,2016-07-28,128.330002,123.629997,127.519997,FB,78955800
54,123.339996,123.339996,2016-07-27,125.00,121.510002,122.419998,FB,52654200
55,121.220001,121.220001,2016-07-26,122.07,120.75,122.00,FB,17612000
56,121.629997,121.629997,2016-07-25,121.849998,117.779999,121.389999,FB,18487400
57,121.00,121.00,2016-07-22,121.010002,119.309998,119.900002,FB,18422400
58,120.610001,120.610001,2016-07-21,122.099998,120.25,121.919998,FB,17801700
59,121.919998,121.919998,2016-07-20,122.199997,120.559998,121.25,FB,20046500
60,120.610001,120.610001,2016-07-19,120.849998,118.660004,118.989998,FB,21541300
61,119.370003,119.370003,2016-07-18,119.610001,116.889999,117.32,FB,20868400
62,116.860001,116.860001,2016-07-15,118.279999,116.580002,117.739998,FB,16646000
63,117.290001,117.290001,2016-07-14,117.639999,116.699997,117.50,FB,14579700
64,116.779999,116.779999,2016-07-13,118.400002,116.68,118.389999,FB,16207700
65,117.93,117.93,2016-07-12,118.720001,117.57,118.629997,FB,15217700
66,117.870003,117.870003,2016-07-11,118.699997,117.50,117.709999,FB,17711600
67,117.239998,117.239998,2016-07-08,117.50,115.849998,116.43,FB,18142600
